Category,Organisms,Year,Source
bam,Burkholderia ambifaria AMMD,2006,RefSeq
bac,Burkholderia ambifaria MC40-6,2008,RefSeq
bmu,Burkholderia multivorans ATCC 17616 (JGI),2007,RefSeq
bmj,Burkholderia multivorans ATCC 17616 (Tohoku),2008,RefSeq
bmk,Burkholderia multivorans DDS 15A-1,2014,GenBank
bmul,Burkholderia multivorans ATCC BAA-247,2015,GenBank
bct,Burkholderia cepacia GG4,2012,RefSeq
bced,Burkholderia cepacia DDS 7H-2,2014,GenBank
bdl,Burkholderia dolosa,2015,GenBank
bpyr,Burkholderia pyrrocinia,2015,GenBank
bcon,Burkholderia contaminans,2015,GenBank
bxe,Burkholderia xenovorans LB400,2006,RefSeq
bxb,Burkholderia xenovorans LB400,2014,GenBank
bph,Burkholderia phymatum,2008,RefSeq
bpy,Burkholderia phytofirmans,2008,RefSeq
bgl,Burkholderia glumae BGR1,2009,RefSeq
bgp,Burkholderia glumae PG1,2015,GenBank
bgu,Burkholderia glumae LMG 2196 = ATCC 33617,2015,GenBank
bug,Burkholderia sp. CCGE1001,2011,RefSeq
bge,Burkholderia sp. CCGE1002,2010,RefSeq
bgf,Burkholderia sp. CCGE1003,2010,RefSeq
brh,Burkholderia rhizoxinica,2010,RefSeq
bgd,Burkholderia gladioli BSR3,2011,RefSeq
bgo,Burkholderia gladioli ATCC 10248,2015,GenBank
byi,Burkholderia sp. YI23,2012,RefSeq
buk,Burkholderia sp. KJ006,2012,RefSeq
bpx,Burkholderia phenoliruptrix,2012,RefSeq
buo,Burkholderia sp. RPE64,2013,RefSeq
bue,Burkholderia sp. RPE67,2015,GenBank
bul,Burkholderia sp. 2002721687,2015,GenBank
bub,Burkholderia ubonensis,2015,GenBank
bfn,Burkholderia fungorum,2015,GenBank
pnu,Polynucleobacter necessarius subsp. asymbioticus,2007,GenBank
pne,Polynucleobacter necessarius subsp. necessarius,2008,RefSeq
ppk,Pandoraea pnomenusa 3kgm,2013,RefSeq
ppno,Pandoraea pnomenusa RB38,2014,GenBank
ppnm,Pandoraea pnomenusa DSM 16536,2014,GenBank
prb,Pandoraea sp. RB-44,2013,RefSeq
ppul,Pandoraea pulmonicola,2015,GenBank
pspu,Pandoraea sputorum,2015,GenBank
papi,Pandoraea apista,2015,GenBank
pve,Pandoraea vervacti,2015,GenBank
pox,Pandoraea oxalativorans,2015,GenBank
ptx,Pandoraea thiooxydans,2015,GenBank
pfg,Pandoraea faecigallinarum,2015,GenBank
bpe,Bordetella pertussis Tohama I,2003,RefSeq
bpc,Bordetella pertussis CS,2012,RefSeq
bper,Bordetella pertussis 18323,2012,RefSeq
bpet,Bordetella pertussis B1917,2015,GenBank
bpeu,Bordetella pertussis 137,2015,GenBank
bpa,Bordetella parapertussis 12822,2003,RefSeq
bpar,Bordetella parapertussis Bpp5,2012,RefSeq
bbr,Bordetella bronchiseptica RB50,2003,RefSeq
bbm,Bordetella bronchiseptica MO149,2012,RefSeq
bbh,Bordetella bronchiseptica 253,2012,RefSeq
bbx,Bordetella bronchiseptica S798,2015,GenBank
bpt,Bordetella petrii,2007,RefSeq
bav,Bordetella avium,2008,RefSeq
bho,Bordetella holmesii ATCC 51541,2014,GenBank
bhm,Bordetella holmesii 44057,2014,GenBank
bhz,Bordetella hinzii,2015,GenBank
axy,Achromobacter xylosoxidans A8,2010,RefSeq
axo,Achromobacter xylosoxidans NH44784-1996,2013,RefSeq
axn,Achromobacter xylosoxidans NBRC 15126 = ATCC 27061,2013,RefSeq
axs,Achromobacter xylosoxidans C54,2014,GenBank
teq,Taylorella equigenitalis MCE9,2011,RefSeq
tea,Taylorella equigenitalis ATCC 35865,2012,RefSeq
teg,Taylorella equigenitalis 14/56,2013,RefSeq
tas,Taylorella asinigenitalis MCE3,2011,RefSeq
tat,Taylorella asinigenitalis 14/45,2013,RefSeq
put,Pusillimonas sp. T7-7,2011,RefSeq
aka,Advenella kashmirensis,2012,RefSeq
amim,Advenella mimigardefordensis,2014,GenBank
cdn,Castellaniella defragrans,2014,GenBank
bpsi,Basilea psittacipulmonis,2014,GenBank
rfr,Rhodoferax ferrireducens,2006,RefSeq
pol,Polaromonas sp. JS666,2006,RefSeq
pna,Polaromonas naphthalenivorans,2007,RefSeq
aav,Acidovorax citrulli,2007,RefSeq
ajs,Acidovorax sp. JS42,2007,RefSeq
dia,Acidovorax ebreus,2009,RefSeq
aaa,Acidovorax avenae,2011,RefSeq
ack,Acidovorax sp. KKS102,2012,RefSeq
vei,Verminephrobacter eiseniae,2007,RefSeq
dac,Delftia acidovorans,2007,RefSeq
del,Delftia sp. Cs1-4,2011,RefSeq
vap,Variovorax paradoxus S110,2009,RefSeq
vpe,Variovorax paradoxus EPS,2011,RefSeq
vpd,Variovorax paradoxus B4,2013,RefSeq
ctt,Comamonas testosteroni CNB-2,2009,RefSeq
ctes,Comamonas testosteroni TK102,2014,GenBank
adn,Alicycliphilus denitrificans BC,2011,RefSeq
adk,Alicycliphilus denitrificans K601,2011,RefSeq
rta,Ramlibacter tataouinensis,2011,RefSeq
cbx,Symbiobacter mobilis,2013,RefSeq
cbaa,Comamonadaceae bacterium A1,2015,GenBank
cbab,Comamonadaceae bacterium B1,2015,GenBank
mpt,Methylibium petroleiphilum,2007,RefSeq
har,Herminiimonas arsenicoxydans,2007,RefSeq
mms,Janthinobacterium sp. Marseille,2007,RefSeq
jag,Janthinobacterium agaricidamnosum,2014,GenBank
hse,Herbaspirillum seropedicae,2010,RefSeq
zin,Candidatus Zinderia insecticola,2010,RefSeq
cfu,Collimonas fungivorans,2011,RefSeq
care,Collimonas arenae,2015,GenBank
lch,Leptothrix cholodnii,2008,RefSeq
tin,Thiomonas intermedia,2010,RefSeq
thi,Thiomonas arsenitoxydans,2012,RefSeq
rge,Rubrivivax gelatinosus,2012,RefSeq
bbag,Burkholderiales bacterium GJ-E10,2015,GenBank
neu,Nitrosomonas europaea,2003,RefSeq
net,Nitrosomonas eutropha,2006,RefSeq
nit,Nitrosomonas sp. AL212,2011,RefSeq
nii,Nitrosomonas sp. Is79A3,2011,RefSeq
nco,Nitrosomonas communis,2015,GenBank
nmu,Nitrosospira multiformis,2005,RefSeq
eba,Aromatoleum aromaticum,2004,RefSeq
azo,Azoarcus sp. BH72,2006,RefSeq
aza,Azoarcus sp. KH32C,2013,RefSeq
dar,Dechloromonas aromatica,2005,RefSeq
tmz,Thauera sp. MZ1T,2008,RefSeq
dsu,Dechlorosoma suillum,2012,RefSeq
shd,Sulfuritalea hydrogenivorans,2015,GenBank
rbu,Rhodocyclaceae bacterium,2015,GenBank
tbd,Thiobacillus denitrificans,2005,RefSeq
sdr,Sulfuricella denitrificans,2013,RefSeq
mfa,Methylobacillus flagellatus,2006,GenBank
mmb,Methylotenera mobilis,2009,RefSeq
meh,Methylotenera versatilis,2010,RefSeq
mei,Methylovorus glucosetrophus,2009,RefSeq
mep,Methylovorus sp. MP688,2010,RefSeq
mbac,Candidatus Methylopumilus turicensis,2015,GenBank
mbat,Candidatus Methylopumilus planktonicus,2015,GenBank
meu,Methylophilus sp. TWE2,2015,GenBank
app,Accumulibacter phosphatis,2009,RefSeq
tpn,Candidatus Tremblaya princeps PCIT,2011,RefSeq
tpq,Candidatus Tremblaya princeps PCVAL,2012,RefSeq
tpj,Candidatus Tremblaya phenacola,2013,RefSeq
slt,Sideroxydans lithotrophicus,2010,RefSeq
gca,Gallionella capsiferriformans,2010,RefSeq
kci,Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255),2013,RefSeq
kct,Candidatus Kinetoplastibacterium crithidii TCC036E,2013,RefSeq
kbl,Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis),2013,RefSeq
kbt,Candidatus Kinetoplastibacterium blastocrithidii TCC012E,2013,RefSeq
kde,Candidatus Kinetoplastibacterium desouzaii,2013,RefSeq
kga,Candidatus Kinetoplastibacterium galatii,2013,RefSeq
kon,Candidatus Kinetoplastibacterium oncopeltii,2013,RefSeq
ssdc,Candidatus Profftella armatura,2013,RefSeq
ndl,Candidatus Nasuia deltocephalinicola,2013,RefSeq
bprc,Beta proteobacterium CB,2013,RefSeq
hpy,Helicobacter pylori 26695,1997,RefSeq
heo,Helicobacter pylori 26695,2012,RefSeq
hpj,Helicobacter pylori J99,1999,RefSeq
hpa,Helicobacter pylori HPAG1,2006,RefSeq
hps,Helicobacter pylori Shi470,2008,RefSeq
hhp,Helicobacter pylori Shi112,2012,RefSeq
hhq,Helicobacter pylori Shi169,2012,RefSeq
hhr,Helicobacter pylori Shi417,2012,RefSeq
hpg,Helicobacter pylori G27,2008,RefSeq
hpp,Helicobacter pylori P12,2008,RefSeq
hpb,Helicobacter pylori B38,2009,RefSeq
hpl,Helicobacter pylori B8,2010,RefSeq
hpc,Helicobacter pylori PeCan4,2010,RefSeq
hca,Helicobacter pylori PeCan18,2012,RefSeq
hpm,Helicobacter pylori SJM180,2010,RefSeq
hpe,Helicobacter pylori ELS37,2012,RefSeq
hpo,Helicobacter pylori 35A,2012,RefSeq
hpi,Helicobacter pylori 908,2012,RefSeq
hpq,Helicobacter pylori 2017,2012,RefSeq
hpw,Helicobacter pylori 2018,2012,RefSeq
hpu,Helicobacter pylori Cuz20,2012,RefSeq
hef,Helicobacter pylori F16,2012,RefSeq
hpf,Helicobacter pylori F30,2012,RefSeq
heq,Helicobacter pylori F32,2012,RefSeq
hex,Helicobacter pylori F57,2012,RefSeq
hpt,Helicobacter pylori Sat464,2012,RefSeq
hpz,Helicobacter pylori 52,2012,RefSeq
hpv,Helicobacter pylori v225d,2012,RefSeq
hpx,Helicobacter pylori 83,2012,RefSeq
hen,Helicobacter pylori SNT49,2012,RefSeq
hph,Helicobacter pylori Lithuania75,2012,RefSeq
heg,Helicobacter pylori Gambia94/24,2012,RefSeq
hpn,Helicobacter pylori India7,2012,RefSeq
hep,Helicobacter pylori Puno120,2012,RefSeq
heu,Helicobacter pylori Puno135,2012,RefSeq
hes,Helicobacter pylori SouthAfrica7,2012,RefSeq
hpys,Helicobacter pylori SouthAfrica20,2013,RefSeq
hcn,Helicobacter pylori HUP-B14,2012,RefSeq
hpd,Helicobacter pylori 51,2012,RefSeq
hey,Helicobacter pylori XZ274,2012,RefSeq
her,Helicobacter pylori Rif1,2012,RefSeq
hei,Helicobacter pylori Rif2,2012,RefSeq
hpya,Helicobacter pylori Aklavik117,2012,RefSeq
hpyk,Helicobacter pylori Aklavik86,2012,RefSeq
hpyo,Helicobacter pylori OK113,2013,RefSeq
hpyl,Helicobacter pylori OK310,2013,RefSeq
hpyb,Helicobacter pylori oki102,2014,GenBank
hpyc,Helicobacter pylori oki112,2015,GenBank
hpyd,Helicobacter pylori oki128,2015,GenBank
hpye,Helicobacter pylori oki154,2015,GenBank
hpyf,Helicobacter pylori oki422,2015,GenBank
hpyg,Helicobacter pylori oki673,2015,GenBank
hpyh,Helicobacter pylori oki828,2015,GenBank
hpyj,Helicobacter pylori oki898,2015,GenBank
hpyr,Helicobacter pylori UM032,2013,RefSeq
hpyi,Helicobacter pylori UM037,2013,RefSeq
hpyu,Helicobacter pylori UM066,2013,RefSeq
hpym,Helicobacter pylori UM299,2013,RefSeq
hem,Helicobacter pylori UM298,2013,RefSeq
heb,Helicobacter pylori BM012A,2013,RefSeq
hez,Helicobacter pylori BM012S,2013,RefSeq
hhe,Helicobacter hepaticus,2003,RefSeq
hac,Helicobacter acinonychis,2006,RefSeq
hms,Helicobacter mustelae,2010,RefSeq
hfe,Helicobacter felis,2010,RefSeq
hbi,Helicobacter bizzozeronii,2011,RefSeq
hce,Helicobacter cetorum MIT 00-7128,2012,RefSeq
hcm,Helicobacter cetorum MIT 99-5656,2012,RefSeq
hcp,Helicobacter cinaedi PAGU611,2012,RefSeq
hcb,Helicobacter cinaedi ATCC BAA-847,2013,RefSeq
hhm,Helicobacter heilmannii,2013,RefSeq
wsu,Wolinella succinogenes,2003,RefSeq
tdn,Sulfurimonas denitrificans,2005,RefSeq
sua,Sulfurimonas autotrophica,2010,RefSeq
sku,Sulfuricurvum kujiense,2010,RefSeq
sulr,Uncultured Sulfuricurvum sp. RIFRC-1,2013,RefSeq
cje,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,2000,RefSeq
cjb,Campylobacter jejuni subsp. jejuni NCTC 11168-BN148,2012,RefSeq
cjj,Campylobacter jejuni subsp. jejuni 81-176,2007,RefSeq
cju,Campylobacter jejuni subsp. jejuni 81116,2007,RefSeq
cjn,Campylobacter jejuni subsp. jejuni ICDCCJ07001,2010,RefSeq
cji,Campylobacter jejuni subsp. jejuni IA3902,2012,RefSeq
cjm,Campylobacter jejuni subsp. jejuni M1,2012,RefSeq
cjs,Campylobacter jejuni subsp. jejuni S3,2012,RefSeq
cjp,Campylobacter jejuni subsp. jejuni PT14,2012,RefSeq
cjej,Campylobacter jejuni subsp. jejuni 00-2426,2013,RefSeq
cjeu,Campylobacter jejuni subsp. jejuni 00-2538,2013,RefSeq
cjen,Campylobacter jejuni subsp. jejuni 00-2544,2013,RefSeq
cjei,Campylobacter jejuni subsp. jejuni 00-2425,2013,RefSeq
cjer,Campylobacter jejuni subsp. jejuni R14,2014,GenBank
cjv,Campylobacter jejuni subsp. jejuni MTVDSCj20,2014,GenBank
cjy,Campylobacter jejuni subsp. jejuni YH001,2015,GenBank
cjq,Campylobacter jejuni subsp. jejuni 35925B2,2015,GenBank
cjl,Campylobacter jejuni subsp. jejuni 00-1597,2015,GenBank
cjw,Campylobacter jejuni subsp. jejuni 00-6200,2015,GenBank
cjr,Campylobacter jejuni RM1221,2005,RefSeq
cjd,Campylobacter jejuni subsp. doylei 269.97,2007,RefSeq
cjz,Campylobacter jejuni 32488,2013,RefSeq
cjx,Campylobacter jejuni 4031,2013,RefSeq
cff,Campylobacter fetus subsp. fetus 82-40,2006,RefSeq
cft,Campylobacter fetus subsp. fetus 04/554,2014,GenBank
cfv,Campylobacter fetus subsp. venerealis cfvi03/293,2014,GenBank
cfx,Campylobacter fetus subsp. venerealis 97/608,2014,GenBank
cfz,Campylobacter fetus subsp. venerealis 84-112,2015,GenBank
camp,Campylobacter fetus subsp. testudinum 03-427,2013,RefSeq
cfp,Campylobacter fetus subsp. testudinum pet-3,2015,GenBank
ccv,Campylobacter curvus,2007,RefSeq
cha,Campylobacter hominis,2007,RefSeq
cco,Campylobacter concisus,2007,GenBank
cla,Campylobacter lari RM2100,2009,RefSeq
clr,Campylobacter lari RM16701,2015,GenBank
clm,Campylobacter lari RM16712,2015,GenBank
clq,Campylobacter lari CCUG 22395,2015,GenBank
cln,Campylobacter lari NCTC 11845,2015,GenBank
cll,Campylobacter lari subsp. concheus LMG 11760,2015,GenBank
ccol,Campylobacter coli 76339,2013,RefSeq
ccc,Campylobacter coli CVM N29710,2013,RefSeq
ccq,Campylobacter coli 15-537360,2013,RefSeq
ccf,Campylobacter coli RM1875,2014,GenBank
ccy,Campylobacter coli RM4661,2014,GenBank
ccoi,Campylobacter coli RM5611,2014,GenBank
ccof,Campylobacter coli FB1,2015,GenBank
caj,Campylobacter sp. 1485E,2014,GenBank
cis,Campylobacter insulaenigrae,2015,GenBank
cvo,Campylobacter volucris,2015,GenBank
cpel,Campylobacter peloridis,2015,GenBank
camr,Campylobacter sp. RM16704,2015,GenBank
csm,Campylobacter subantarcticus LMG 24374,2015,GenBank
csf,Campylobacter subantarcticus LMG 24377,2015,GenBank
abu,Arcobacter butzleri RM4018,2007,RefSeq
abt,Arcobacter butzleri ED-1,2012,RefSeq
abl,Arcobacter butzleri 7h1h,2013,RefSeq
ant,Arcobacter nitrofigilis,2010,RefSeq
arc,Arcobacter sp. L,2012,RefSeq
sdl,Sulfurospirillum deleyianum,2009,RefSeq
sba,Sulfurospirillum barnesii,2012,RefSeq
smul,Sulfurospirillum multivorans,2014,GenBank
nsa,Nitratifractor salsuginis,2011,RefSeq
nis,Nitratiruptor sp. SB155-2,2007,RefSeq
sun,Sulfurovum sp. NBC37-1,2007,RefSeq
slh,Sulfurovum lithotrophicum,2015,GenBank
nam,Nautilia profundicola,2009,RefSeq
gsu,Geobacter sulfurreducens PCA,2003,RefSeq
gsk,Geobacter sulfurreducens KN400,2012,RefSeq
gme,Geobacter metallireducens,2005,RefSeq
gur,Geobacter uraniireducens,2007,RefSeq
glo,Geobacter lovleyi,2008,RefSeq
gbm,Geobacter bemidjiensis,2008,RefSeq
geo,Geobacter daltonii FRC-32,2009,RefSeq
gem,Geobacter sp. M21,2009,RefSeq
geb,Geobacter sp. M18,2011,RefSeq
gpi,Geobacter pickeringii,2015,GenBank
gsb,Geoalkalibacter subterraneus,2015,GenBank
pca,Pelobacter carbinolicus,2005,RefSeq
ppd,Pelobacter propionicus,2006,RefSeq
dvu,Desulfovibrio vulgaris Hildenborough,2004,RefSeq
dvl,Desulfovibrio vulgaris DP4,2007,RefSeq
dvm,Desulfovibrio vulgaris Miyazaki F,2009,RefSeq
dvg,Desulfovibrio vulgaris RCH1,2012,RefSeq
dde,Desulfovibrio alaskensis,2005,RefSeq
dds,Desulfovibrio desulfuricans ATCC 27774,2009,RefSeq
ddn,Desulfovibrio desulfuricans ND132,2012,RefSeq
dma,Desulfovibrio magneticus,2009,RefSeq
dsa,Desulfovibrio salexigens,2009,RefSeq
das,Desulfovibrio aespoeensis,2011,RefSeq
daf,Desulfovibrio africanus,2012,RefSeq
dhy,Desulfovibrio hydrothermalis,2013,RefSeq
dpi,Desulfovibrio piezophilus,2013,RefSeq
dgg,Desulfovibrio gigas,2013,RefSeq
lip,Lawsonia intracellularis PHE/MN1-00,2006,RefSeq
lir,Lawsonia intracellularis N343,2013,RefSeq
dba,Desulfomicrobium baculatum,2009,RefSeq
drt,Desulfohalobium retbaense,2009,RefSeq
bba,Bdellovibrio bacteriovorus HD100,2004,RefSeq
bbat,Bdellovibrio bacteriovorus Tiberius,2012,RefSeq
bbw,Bdellovibrio bacteriovorus W,2014,GenBank
bbac,Bdellovibrio bacteriovorus 109J,2014,GenBank
bex,Bdellovibrio exovorus,2013,RefSeq
bmx,Halobacteriovorax marinus,2012,RefSeq
dps,Desulfotalea psychrophila,2004,RefSeq
dak,Desulfurivibrio alkaliphilus,2010,RefSeq
dpr,Desulfobulbus propionicus,2011,RefSeq
dsf,Desulfocapsa sulfexigens,2013,RefSeq
dol,Candidatus Desulfococcus oleovorans,2007,RefSeq
dal,Desulfatibacillum alkenivorans,2009,RefSeq
dat,Desulfobacterium autotrophicum,2009,RefSeq
dto,Desulfobacula toluolica,2012,RefSeq
ade,Anaeromyxobacter dehalogenans 2CP-C,2006,RefSeq
acp,Anaeromyxobacter dehalogenans 2CP-1,2009,RefSeq
afw,Anaeromyxobacter sp. Fw109-5,2007,RefSeq
ank,Anaeromyxobacter sp. K,2008,RefSeq
mxa,Myxococcus xanthus,2006,RefSeq
mfu,Myxococcus fulvus,2011,RefSeq
msd,Myxococcus stipitatus,2013,RefSeq
ccx,Corallococcus coralloides,2012,RefSeq
sur,Stigmatella aurantiaca,2011,RefSeq
age,Archangium gephyra,2015,GenBank
scl,Sorangium cellulosum So ce 56,2007,RefSeq
scu,Sorangium cellulosum So0157-2,2013,RefSeq
samy,Sandaracinus amylolyticus,2015,GenBank
hoh,Haliangium ochraceum,2009,RefSeq
sat,Syntrophus aciditrophicus,2006,RefSeq
dao,Desulfobacca acetoxidans,2011,RefSeq
dti,Desulfomonile tiedjei,2012,RefSeq
sfu,Syntrophobacter fumaroxidans,2006,RefSeq
dbr,Desulfarculus baarsii,2010,RefSeq
hmr,Hippea maritima,2011,RefSeq
dav,Desulfurella acetivorans,2014,GenBank
dpb,Candidatus Babela massiliensis,2013,RefSeq
rpr,Rickettsia prowazekii Madrid E,1998,RefSeq
rpo,Rickettsia prowazekii BuV67-CWPP,2012,RefSeq
rpw,Rickettsia prowazekii Chernikova,2012,RefSeq
rpz,Rickettsia prowazekii Dachau,2012,RefSeq
rpg,Rickettsia prowazekii GvV257,2012,RefSeq
rps,Rickettsia prowazekii Katsinyian,2012,RefSeq
rpv,Rickettsia prowazekii RpGvF24,2012,RefSeq
rpq,Rickettsia prowazekii Rp22,2012,RefSeq
rpl,Rickettsia prowazekii Breinl,2013,RefSeq
rpn,Rickettsia prowazekii NMRC Madrid E,2013,RefSeq
rty,Rickettsia typhi Wilmington,2004,RefSeq
rtt,Rickettsia typhi TH1527,2012,RefSeq
rtb,Rickettsia typhi B9991CWPP,2012,RefSeq
rcm,Rickettsia canadensis McKiel,2007,RefSeq
rcc,Rickettsia canadensis CA410,2012,RefSeq
rbe,Rickettsia bellii RML369-C,2006,RefSeq
rbo,Rickettsia bellii OSU 85-389,2007,RefSeq
rco,Rickettsia conorii,2001,RefSeq
rfe,Rickettsia felis,2005,RefSeq
rak,Rickettsia akari,2007,RefSeq
rri,Rickettsia rickettsii Sheila Smith,2007,RefSeq
rrj,Rickettsia rickettsii Iowa,2008,RefSeq
rra,Rickettsia rickettsii Arizona,2012,RefSeq
rrc,Rickettsia rickettsii Colombia,2012,RefSeq
rrh,Rickettsia rickettsii Hauke,2012,RefSeq
rrb,Rickettsia rickettsii Brazil,2012,RefSeq
rrn,Rickettsia rickettsii Hino,2012,RefSeq
rrp,Rickettsia rickettsii Hlp#2,2012,RefSeq
rrm,Rickettsia rickettsii Morgan,2015,GenBank
rrr,Rickettsia rickettsii R,2015,GenBank
rms,Rickettsia massiliae MTU5,2007,RefSeq
rmi,Rickettsia massiliae AZT80,2012,RefSeq
rpk,Rickettsia peacockii,2009,RefSeq
raf,Rickettsia africae,2009,RefSeq
rhe,Rickettsia heilongjiangensis,2011,RefSeq
rja,Rickettsia japonica,2011,RefSeq
rsv,Rickettsia slovaca 13-B,2012,RefSeq
rsw,Rickettsia slovaca D-CWPP,2012,RefSeq
rph,Rickettsia philipii,2012,RefSeq
rau,Rickettsia australis,2012,RefSeq
rmo,Rickettsia montanensis,2012,RefSeq
rpp,Rickettsia parkeri,2012,RefSeq
rre,Rickettsia rhipicephali,2012,RefSeq
ram,Candidatus Rickettsia amblyommii,2012,RefSeq
rmc,Rickettsia monacensis,2015,GenBank
ots,Orientia tsutsugamushi Boryong,2007,RefSeq
ott,Orientia tsutsugamushi Ikeda,2008,RefSeq
wol,Wolbachia wMel (Drosophila melanogaster),2004,RefSeq
wri,Wolbachia wRi (Drosophila simulans),2009,RefSeq
wen,Wolbachia wHa (Drosophila simulans),2013,RefSeq
wed,Wolbachia wNo (Drosophila simulans),2013,RefSeq
wpi,Wolbachia wPip (Culex quinquefasciatus),2008,RefSeq
wbm,Wolbachia wBm (Brugia malayi),2005,RefSeq
woo,Wolbachia wOo (Onchocerca ochengi),2012,RefSeq
wcl,Wolbachia wCle (Cimex lectularius),2015,GenBank
ama,Anaplasma marginale St. Maries,2004,RefSeq
amf,Anaplasma marginale Florida,2009,RefSeq
amw,Anaplasma marginale Dawn,2013,RefSeq
amp,Anaplasma marginale Gypsy Plains,2013,RefSeq
acn,Anaplasma centrale,2009,RefSeq
aph,Anaplasma phagocytophilum HZ,2006,RefSeq
apy,Anaplasma phagocytophilum HZ2,2013,RefSeq
apd,Anaplasma phagocytophilum Dog2,2013,RefSeq
apha,Anaplasma phagocytophilum JM,2013,RefSeq
eru,Ehrlichia ruminantium Welgevonden (South Africa),2005,RefSeq
erw,Ehrlichia ruminantium Welgevonden (France),2005,RefSeq
erg,Ehrlichia ruminantium Gardel,2005,RefSeq
ecn,Ehrlichia canis,2005,RefSeq
ech,Ehrlichia chaffeensis Arkansas,2006,RefSeq
echa,Ehrlichia chaffeensis Heartland,2014,GenBank
echj,Ehrlichia chaffeensis Jax,2014,GenBank
echl,Ehrlichia chaffeensis Liberty,2014,GenBank
echs,Ehrlichia chaffeensis Osceola,2014,GenBank
echv,Ehrlichia chaffeensis Saint Vincent,2014,GenBank
echw,Ehrlichia chaffeensis Wakulla,2014,GenBank
echp,Ehrlichia chaffeensis West Paces,2014,GenBank
emr,Ehrlichia muris,2013,RefSeq
ehh,Ehrlichia sp. HF,2014,GenBank
nse,Neorickettsia sennetsu,2006,RefSeq
nri,Neorickettsia risticii,2009,RefSeq
nhm,Neorickettsia helminthoeca,2014,GenBank
mmn,Candidatus Midichloria mitochondrii,2011,RefSeq
paca,Candidatus Paracaedibacter acanthamoebae,2014,GenBank
caq,Candidatus Caedibacter acanthamoebae,2014,GenBank
eaa,Endosymbiont of Acanthamoeba sp. UWC8,2014,GenBank
rbt,Rickettsiales bacterium Ac37b,2014,GenBank
mlo,Mesorhizobium loti,2000,RefSeq
mci,Mesorhizobium ciceri,2011,RefSeq
mop,Mesorhizobium opportunistum,2011,RefSeq
mam,Mesorhizobium australicum,2013,RefSeq
mes,Chelativorans sp. BNC1,2006,RefSeq
hoe,Hoeflea sp. IMCC20628,2015,GenBank
pla,Parvibaculum lavamentivorans,2007,RefSeq
sme,Sinorhizobium meliloti 1021,2001,RefSeq
smk,Sinorhizobium meliloti AK83,2011,RefSeq
smq,Sinorhizobium meliloti BL225C,2012,RefSeq
smx,Sinorhizobium meliloti SM11,2012,RefSeq
smi,Sinorhizobium meliloti Rm41,2012,RefSeq
smeg,Sinorhizobium meliloti GR4,2013,RefSeq
smel,Sinorhizobium meliloti 2011,2013,RefSeq
smer,Sinorhizobium meliloti RMO17,2014,GenBank
smd,Sinorhizobium medicae,2007,RefSeq
rhi,Sinorhizobium fredii NGR234,2009,RefSeq
sfh,Sinorhizobium fredii HH103,2012,RefSeq
sfd,Sinorhizobium fredii USDA 257,2012,RefSeq
ead,Ensifer adhaerens,2014,GenBank
atu,Agrobacterium fabrum,2001,RefSeq
ara,Agrobacterium radiobacter,2009,RefSeq
atf,Agrobacterium tumefaciens,2015,GenBank
avi,Agrobacterium vitis,2009,RefSeq
agr,Agrobacterium sp. H13-3,2011,RefSeq
ret,Rhizobium etli CFN 42,2006,RefSeq
rec,Rhizobium etli CIAT 652,2008,RefSeq
rel,Rhizobium etli bv. mimosae Mim1,2013,RefSeq
rei,Rhizobium etli bv. mimosae IE4771,2014,GenBank
rep,Rhizobium etli bv. phaseoli IE4803,2015,GenBank
rle,Rhizobium leguminosarum bv. viciae 3841,2006,RefSeq
rlt,Rhizobium leguminosarum bv. trifolii WSM2304,2008,RefSeq
rlg,Rhizobium leguminosarum bv. trifolii WSM1325,2009,RefSeq
rlb,Rhizobium leguminosarum bv. trifolii WSM1689,2014,GenBank
rlu,Rhizobium leguminosarum bv. trifolii CB782,2014,GenBank
rtr,Rhizobium tropici,2013,RefSeq
rir,Rhizobium sp. IRBG74,2013,RefSeq
rhl,Rhizobium sp. LPU83,2014,GenBank
rga,Rhizobium gallicum,2015,GenBank
ngl,Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141,2014,GenBank
ngg,Neorhizobium galegae bv. orientalis HAMBI 540,2014,GenBank
las,Candidatus Liberibacter asiaticus psy62,2009,RefSeq
laa,Candidatus Liberibacter asiaticus gxpsy,2013,RefSeq
lat,Candidatus Liberibacter asiaticus Ishi-1,2015,GenBank
lso,Candidatus Liberibacter solanacearum,2010,RefSeq
lcc,Liberibacter crescens,2012,RefSeq
lar,Candidatus Liberibacter americanus,2013,RefSeq
lau,Candidatus Liberibacter africanus,2015,GenBank
bme,Brucella melitensis bv. 1 16M,2002,RefSeq
bmel,Brucella melitensis bv. 1 16M,2015,GenBank
bmi,Brucella melitensis ATCC 23457,2009,RefSeq
bmz,Brucella melitensis M28,2012,RefSeq
bmg,Brucella melitensis M5-90,2012,RefSeq
bmw,Brucella melitensis NI,2012,RefSeq
bmee,Brucella melitensis bv. 3 Ether,2014,GenBank
bmf,Brucella abortus 2308,2005,RefSeq
bmb,Brucella abortus 9-941,2005,RefSeq
bmc,Brucella abortus S19,2008,RefSeq
